time_ajustado	gFy
1.23379953	0.226
1.23514380	0.2243
1.23623	0.2226
1.23739984	0.2206
1.23839380	0.2194
1.23969718	0.2169
1.24103828	0.2138
1.24210062	0.2121
1.24346916	0.2106
1.24453401	0.2089
1.24583916	0.2069
1.25139687	0.2057
1.25218921	0.2047
1.25269062	0.203
1.25316463	0.2001
1.25361963	0.1974
1.25407156	0.1957
1.25460885	0.1925
1.25558369	0.1901
1.25667130	0.1891
1.25781223	0.1874
1.25939375	0.1852
1.26096697	0.183
1.26151953	0.1815
1.26262942	0.1808
1.26503859	0.18
1.26567390	0.1793
1.26669739	0.1781
1.26787942	0.1766
1.26912411	0.1756
1.27033723	0.1756
1.27142838	0.1756
1.27237776	0.1752
1.27352458	0.1749
1.27481109	0.1754
1.27609890	0.1761
1.27716083	0.1754
1.27828348	0.1734
1.27970114	0.1703
1.28192838	0.1695
1.28267442	0.1732
1.28340401	0.1761
1.28522901	0.1771
1.28780156	0.1766
1.28864833	0.1752
1.28917015	0.1742
1.28960947	0.1739
1.29040697	0.1749
1.29203296	0.1756
1.29288005	0.1752
1.29400598	0.1752
1.29530328	0.1756
1.29644260	0.1764
1.29924781	0.1771
1.29981161	0.1778
1.30205062	0.1776
1.30277520	0.1774
1.3031775	0.1791
1.30418375	0.1796
1.30525718	0.1793
1.30639937	0.1798
1.30758119	0.1803
1.30873989	0.1803
1.31017244	0.1805
1.31151026	0.1803
1.31264572	0.1803
1.31395286	0.1815
1.32058239	0.1822
1.32189010	0.1822
1.32243937	0.1827
1.32303098	0.183
1.32343947	0.1827
1.32381458	0.1815
1.32420656	0.1805
1.32456270	0.1803
1.32492046	0.1803
1.32622614	0.18
1.32707145	0.1783
1.32836442	0.1761
1.32917260	0.1742
1.33138796	0.1725
1.33189447	0.1715
1.33406291	0.1695
1.33557083	0.1666
1.33679885	0.1639
1.33762833	0.1617
1.33814937	0.1593
1.33933442	0.1571
1.34010010	0.1546
1.34115895	0.1527
1.3423075	0.151
1.34375130	0.1485
1.34481098	0.1463
1.34603083	0.1449
1.35402828	0.1441
1.35482296	0.1434
1.35519041	0.1424
1.35554895	0.1414
1.35587526	0.1402
1.35620260	0.1402
1.35650552	0.1405
1.35682927	0.139
1.35715718	0.138
1.35835416	0.1385
1.35969968	0.1392
1.36073067	0.1392
1.36183421	0.138
1.36356562	0.1383
1.37078656	0.14
1.37173458	0.1405
1.37228755	0.1397
1.37273406	0.1405
1.37319083	0.1414
1.37364218	0.1417
1.37407833	0.1427
1.37471901	0.1437
1.37521609	0.1439
1.37569645	0.1441
1.37652166	0.1444
1.37771885	0.1441
1.37908140	0.1434
1.38019364	0.1434
1.38493817	0.1437
1.38562812	0.1434
1.38606682	0.1434
1.38645739	0.1434
1.38693125	0.1422
1.38780942	0.1375
1.38853770	0.1336
1.38970468	0.1351
